Bug ID,Version Index,Version Name,Days from Version to FV,LOC touched from Version to FV,Bugginess
SYNCOPE-560,21,1.2.1,0,0,No
SYNCOPE-560,20,1.2.0,4,46,Yes
SYNCOPE-560,19,1.2.0-M1,29,289,No
SYNCOPE-560,18,1.1.8,96,705,No
SYNCOPE-560,17,1.1.7,179,1126,No
SYNCOPE-560,16,1.1.6,227,1330,No
SYNCOPE-560,15,1.1.5,313,1650,No
SYNCOPE-560,14,1.1.4,375,2180,No
SYNCOPE-560,13,1.1.3,452,2558,No
SYNCOPE-560,12,1.1.2,483,2627,No
SYNCOPE-560,11,1.1.1,526,2687,No
SYNCOPE-560,10,1.0.8,537,2895,No
SYNCOPE-560,9,1.1.0,550,3014,No
SYNCOPE-560,8,1.0.7,560,3342,No
SYNCOPE-560,7,1.0.6,587,3691,No
SYNCOPE-560,6,1.0.5,622,4073,No
SYNCOPE-560,5,1.0.4,666,4490,No
SYNCOPE-560,4,1.0.2-incubating,735,5154,No
SYNCOPE-560,3,1.0.3-incubating,737,5160,No
SYNCOPE-560,2,1.0.1-incubating,769,5334,No
SYNCOPE-560,1,1.0.0-incubating,792,6635,No
SYNCOPE-440,15,1.1.5,0,0,No
SYNCOPE-440,14,1.1.4,55,16,Yes
SYNCOPE-440,13,1.1.3,132,18,Yes
SYNCOPE-440,12,1.1.2,163,18,No
SYNCOPE-440,11,1.1.1,206,26,No
SYNCOPE-440,10,1.0.8,217,26,No
SYNCOPE-440,9,1.1.0,230,26,No
SYNCOPE-440,8,1.0.7,240,30,No
SYNCOPE-440,7,1.0.6,267,69,No
SYNCOPE-440,6,1.0.5,302,95,No
SYNCOPE-440,5,1.0.4,346,166,No
SYNCOPE-440,4,1.0.2-incubating,415,166,No
SYNCOPE-440,3,1.0.3-incubating,417,166,No
SYNCOPE-440,2,1.0.1-incubating,449,166,No
SYNCOPE-440,1,1.0.0-incubating,472,166,No
SYNCOPE-561,21,1.2.1,0,0,No
SYNCOPE-561,20,1.2.0,4,8,Yes
SYNCOPE-561,19,1.2.0-M1,29,8,No
SYNCOPE-561,18,1.1.8,96,8,No
SYNCOPE-561,17,1.1.7,179,8,No
SYNCOPE-561,16,1.1.6,227,8,No
SYNCOPE-561,15,1.1.5,313,8,No
SYNCOPE-561,14,1.1.4,375,8,No
SYNCOPE-561,13,1.1.3,452,8,No
SYNCOPE-561,12,1.1.2,483,32,No
SYNCOPE-561,11,1.1.1,526,266,No
SYNCOPE-561,10,1.0.8,537,266,No
SYNCOPE-561,9,1.1.0,550,266,No
SYNCOPE-561,8,1.0.7,560,266,No
SYNCOPE-561,7,1.0.6,587,266,No
SYNCOPE-561,6,1.0.5,622,266,No
SYNCOPE-561,5,1.0.4,666,266,No
SYNCOPE-561,4,1.0.2-incubating,735,266,No
SYNCOPE-561,3,1.0.3-incubating,737,266,No
SYNCOPE-561,2,1.0.1-incubating,769,266,No
SYNCOPE-561,1,1.0.0-incubating,792,266,No
SYNCOPE-562,21,1.2.1,0,0,No
SYNCOPE-562,20,1.2.0,6,30,Yes
SYNCOPE-562,19,1.2.0-M1,31,32,No
SYNCOPE-562,18,1.1.8,98,44,No
SYNCOPE-562,17,1.1.7,181,327,No
SYNCOPE-562,16,1.1.6,229,353,No
SYNCOPE-562,15,1.1.5,315,402,No
SYNCOPE-562,14,1.1.4,377,417,No
SYNCOPE-562,13,1.1.3,454,566,No
SYNCOPE-562,12,1.1.2,485,566,No
SYNCOPE-562,11,1.1.1,528,566,No
SYNCOPE-562,10,1.0.8,539,566,No
SYNCOPE-562,9,1.1.0,552,566,No
SYNCOPE-562,8,1.0.7,562,566,No
SYNCOPE-562,7,1.0.6,589,568,No
SYNCOPE-562,6,1.0.5,624,568,No
SYNCOPE-562,5,1.0.4,668,721,No
SYNCOPE-562,4,1.0.2-incubating,737,724,No
SYNCOPE-562,3,1.0.3-incubating,739,724,No
SYNCOPE-562,2,1.0.1-incubating,771,841,No
SYNCOPE-562,1,1.0.0-incubating,794,841,No
SYNCOPE-564,21,1.2.1,0,0,No
SYNCOPE-564,20,1.2.0,20,180,Yes
SYNCOPE-564,19,1.2.0-M1,45,439,No
SYNCOPE-564,18,1.1.8,112,526,No
SYNCOPE-564,17,1.1.7,195,904,No
SYNCOPE-564,16,1.1.6,243,904,No
SYNCOPE-564,15,1.1.5,329,1044,No
SYNCOPE-564,14,1.1.4,391,2085,No
SYNCOPE-564,13,1.1.3,468,5306,No
SYNCOPE-564,12,1.1.2,499,5306,No
SYNCOPE-564,11,1.1.1,542,5335,No
SYNCOPE-564,10,1.0.8,553,5367,No
SYNCOPE-564,9,1.1.0,566,5367,No
SYNCOPE-564,8,1.0.7,576,5375,No
SYNCOPE-564,7,1.0.6,603,5441,No
SYNCOPE-564,6,1.0.5,638,5974,No
SYNCOPE-564,5,1.0.4,682,6193,No
SYNCOPE-564,4,1.0.2-incubating,751,8174,No
SYNCOPE-564,3,1.0.3-incubating,753,8176,No
SYNCOPE-564,2,1.0.1-incubating,785,8244,No
SYNCOPE-564,1,1.0.0-incubating,808,8273,No
SYNCOPE-323,7,1.0.6,0,0,No
SYNCOPE-323,6,1.0.5,30,1676,Yes
SYNCOPE-323,5,1.0.4,74,3045,No
SYNCOPE-323,4,1.0.2-incubating,143,3499,No
SYNCOPE-323,3,1.0.3-incubating,145,3499,No
SYNCOPE-323,2,1.0.1-incubating,177,3520,No
SYNCOPE-323,1,1.0.0-incubating,200,3647,No
SYNCOPE-565,21,1.2.1,0,0,No
SYNCOPE-565,20,1.2.0,11,6,Yes
SYNCOPE-565,19,1.2.0-M1,36,6,No
SYNCOPE-565,18,1.1.8,103,6,No
SYNCOPE-565,17,1.1.7,186,42,No
SYNCOPE-565,16,1.1.6,234,42,No
SYNCOPE-565,15,1.1.5,320,296,No
SYNCOPE-565,14,1.1.4,382,365,No
SYNCOPE-565,13,1.1.3,459,367,No
SYNCOPE-565,12,1.1.2,490,367,No
SYNCOPE-565,11,1.1.1,533,431,No
SYNCOPE-565,10,1.0.8,544,431,No
SYNCOPE-565,9,1.1.0,557,431,No
SYNCOPE-565,8,1.0.7,567,431,No
SYNCOPE-565,7,1.0.6,594,431,No
SYNCOPE-565,6,1.0.5,629,499,No
SYNCOPE-565,5,1.0.4,673,606,No
SYNCOPE-565,4,1.0.2-incubating,742,608,No
SYNCOPE-565,3,1.0.3-incubating,744,608,No
SYNCOPE-565,2,1.0.1-incubating,776,624,No
SYNCOPE-565,1,1.0.0-incubating,799,698,No
SYNCOPE-566,21,1.2.1,0,0,No
SYNCOPE-566,20,1.2.0,13,90,Yes
SYNCOPE-566,19,1.2.0-M1,38,90,No
SYNCOPE-566,18,1.1.8,105,90,No
SYNCOPE-566,17,1.1.7,188,482,No
SYNCOPE-566,16,1.1.6,236,482,No
SYNCOPE-566,15,1.1.5,322,572,No
SYNCOPE-566,14,1.1.4,384,589,No
SYNCOPE-566,13,1.1.3,461,595,No
SYNCOPE-566,12,1.1.2,492,595,No
SYNCOPE-566,11,1.1.1,535,660,No
SYNCOPE-566,10,1.0.8,546,660,No
SYNCOPE-566,9,1.1.0,559,660,No
SYNCOPE-566,8,1.0.7,569,660,No
SYNCOPE-566,7,1.0.6,596,902,No
SYNCOPE-566,6,1.0.5,631,1219,No
SYNCOPE-566,5,1.0.4,675,1256,No
SYNCOPE-566,4,1.0.2-incubating,744,1260,No
SYNCOPE-566,3,1.0.3-incubating,746,1260,No
SYNCOPE-566,2,1.0.1-incubating,778,1281,No
SYNCOPE-566,1,1.0.0-incubating,801,1325,No
SYNCOPE-325,7,1.0.6,0,0,No
SYNCOPE-325,6,1.0.5,33,32,Yes
SYNCOPE-325,5,1.0.4,77,41,No
SYNCOPE-325,4,1.0.2-incubating,146,41,No
SYNCOPE-325,3,1.0.3-incubating,148,41,No
SYNCOPE-325,2,1.0.1-incubating,180,41,No
SYNCOPE-325,1,1.0.0-incubating,203,41,No
SYNCOPE-567,21,1.2.1,0,0,No
SYNCOPE-567,20,1.2.0,14,12,Yes
SYNCOPE-567,19,1.2.0-M1,39,152,No
SYNCOPE-567,18,1.1.8,106,152,No
SYNCOPE-567,17,1.1.7,189,152,No
SYNCOPE-567,16,1.1.6,237,152,No
SYNCOPE-567,15,1.1.5,323,152,No
SYNCOPE-567,14,1.1.4,385,152,No
SYNCOPE-567,13,1.1.3,462,152,No
SYNCOPE-567,12,1.1.2,493,152,No
SYNCOPE-567,11,1.1.1,536,152,No
SYNCOPE-567,10,1.0.8,547,152,No
SYNCOPE-567,9,1.1.0,560,152,No
SYNCOPE-567,8,1.0.7,570,152,No
SYNCOPE-567,7,1.0.6,597,152,No
SYNCOPE-567,6,1.0.5,632,152,No
SYNCOPE-567,5,1.0.4,676,152,No
SYNCOPE-567,4,1.0.2-incubating,745,152,No
SYNCOPE-567,3,1.0.3-incubating,747,152,No
SYNCOPE-567,2,1.0.1-incubating,779,152,No
SYNCOPE-567,1,1.0.0-incubating,802,152,No
SYNCOPE-568,21,1.2.1,0,0,No
SYNCOPE-568,20,1.2.0,14,21,Yes
SYNCOPE-568,19,1.2.0-M1,39,21,Yes
SYNCOPE-568,18,1.1.8,106,40,Yes
SYNCOPE-568,17,1.1.7,189,303,No
SYNCOPE-568,16,1.1.6,237,303,No
SYNCOPE-568,15,1.1.5,323,366,No
SYNCOPE-568,14,1.1.4,385,602,No
SYNCOPE-568,13,1.1.3,462,622,No
SYNCOPE-568,12,1.1.2,493,622,No
SYNCOPE-568,11,1.1.1,536,660,No
SYNCOPE-568,10,1.0.8,547,660,No
SYNCOPE-568,9,1.1.0,560,660,No
SYNCOPE-568,8,1.0.7,570,1045,No
SYNCOPE-568,7,1.0.6,597,1045,No
SYNCOPE-568,6,1.0.5,632,1400,No
SYNCOPE-568,5,1.0.4,676,1433,No
SYNCOPE-568,4,1.0.2-incubating,745,1435,No
SYNCOPE-568,3,1.0.3-incubating,747,1435,No
SYNCOPE-568,2,1.0.1-incubating,779,1447,No
SYNCOPE-568,1,1.0.0-incubating,802,1473,No
SYNCOPE-327,8,1.0.7,0,0,No
SYNCOPE-327,7,1.0.6,2,101,Yes
SYNCOPE-327,6,1.0.5,37,353,No
SYNCOPE-327,5,1.0.4,81,581,No
SYNCOPE-327,4,1.0.2-incubating,150,585,No
SYNCOPE-327,3,1.0.3-incubating,152,585,No
SYNCOPE-327,2,1.0.1-incubating,184,585,No
SYNCOPE-327,1,1.0.0-incubating,207,585,No
SYNCOPE-569,21,1.2.1,0,0,No
SYNCOPE-569,20,1.2.0,14,85,Yes
SYNCOPE-569,19,1.2.0-M1,39,752,No
SYNCOPE-569,18,1.1.8,106,752,No
SYNCOPE-569,17,1.1.7,189,752,No
SYNCOPE-569,16,1.1.6,237,752,No
SYNCOPE-569,15,1.1.5,323,752,No
SYNCOPE-569,14,1.1.4,385,1427,No
SYNCOPE-569,13,1.1.3,462,1427,No
SYNCOPE-569,12,1.1.2,493,1427,No
SYNCOPE-569,11,1.1.1,536,1427,No
SYNCOPE-569,10,1.0.8,547,1428,No
SYNCOPE-569,9,1.1.0,560,1428,No
SYNCOPE-569,8,1.0.7,570,1428,No
SYNCOPE-569,7,1.0.6,597,1428,No
SYNCOPE-569,6,1.0.5,632,1438,No
SYNCOPE-569,5,1.0.4,676,1438,No
SYNCOPE-569,4,1.0.2-incubating,745,1466,No
SYNCOPE-569,3,1.0.3-incubating,747,1466,No
SYNCOPE-569,2,1.0.1-incubating,779,1466,No
SYNCOPE-569,1,1.0.0-incubating,802,1466,No
SYNCOPE-551,20,1.2.0,0,0,No
SYNCOPE-551,19,1.2.0-M1,15,2,Yes
SYNCOPE-551,18,1.1.8,82,6,No
SYNCOPE-551,17,1.1.7,165,144,No
SYNCOPE-551,16,1.1.6,213,144,No
SYNCOPE-551,15,1.1.5,299,197,No
SYNCOPE-551,14,1.1.4,361,241,No
SYNCOPE-551,13,1.1.3,438,241,No
SYNCOPE-551,12,1.1.2,469,241,No
SYNCOPE-551,11,1.1.1,512,241,No
SYNCOPE-551,10,1.0.8,523,241,No
SYNCOPE-551,9,1.1.0,536,241,No
SYNCOPE-551,8,1.0.7,546,241,No
SYNCOPE-551,7,1.0.6,573,256,No
SYNCOPE-551,6,1.0.5,608,275,No
SYNCOPE-551,5,1.0.4,652,404,No
SYNCOPE-551,4,1.0.2-incubating,721,435,No
SYNCOPE-551,3,1.0.3-incubating,723,435,No
SYNCOPE-551,2,1.0.1-incubating,755,435,No
SYNCOPE-551,1,1.0.0-incubating,778,435,No
SYNCOPE-310,7,1.0.6,0,0,No
SYNCOPE-310,6,1.0.5,28,386,Yes
SYNCOPE-310,5,1.0.4,72,565,No
SYNCOPE-310,4,1.0.2-incubating,141,884,No
SYNCOPE-310,3,1.0.3-incubating,143,886,No
SYNCOPE-310,2,1.0.1-incubating,175,934,No
SYNCOPE-310,1,1.0.0-incubating,198,2146,No
SYNCOPE-553,20,1.2.0,0,0,No
SYNCOPE-553,19,1.2.0-M1,21,20,Yes
SYNCOPE-553,18,1.1.8,88,20,No
SYNCOPE-553,17,1.1.7,171,65,No
SYNCOPE-553,16,1.1.6,219,65,No
SYNCOPE-553,15,1.1.5,305,164,No
SYNCOPE-553,14,1.1.4,367,190,No
SYNCOPE-553,13,1.1.3,444,242,No
SYNCOPE-553,12,1.1.2,475,242,No
SYNCOPE-553,11,1.1.1,518,259,No
SYNCOPE-553,10,1.0.8,529,259,No
SYNCOPE-553,9,1.1.0,542,259,No
SYNCOPE-553,8,1.0.7,552,259,No
SYNCOPE-553,7,1.0.6,579,261,No
SYNCOPE-553,6,1.0.5,614,393,No
SYNCOPE-553,5,1.0.4,658,594,No
SYNCOPE-553,4,1.0.2-incubating,727,600,No
SYNCOPE-553,3,1.0.3-incubating,729,600,No
SYNCOPE-553,2,1.0.1-incubating,761,600,No
SYNCOPE-553,1,1.0.0-incubating,784,600,No
SYNCOPE-433,15,1.1.5,0,0,No
SYNCOPE-433,14,1.1.4,41,149,Yes
SYNCOPE-433,13,1.1.3,118,153,No
SYNCOPE-433,12,1.1.2,149,186,No
SYNCOPE-433,11,1.1.1,192,188,No
SYNCOPE-433,10,1.0.8,203,188,No
SYNCOPE-433,9,1.1.0,216,213,No
SYNCOPE-433,8,1.0.7,226,213,No
SYNCOPE-433,7,1.0.6,253,291,No
SYNCOPE-433,6,1.0.5,288,315,No
SYNCOPE-433,5,1.0.4,332,486,No
SYNCOPE-433,4,1.0.2-incubating,401,486,No
SYNCOPE-433,3,1.0.3-incubating,403,486,No
SYNCOPE-433,2,1.0.1-incubating,435,486,No
SYNCOPE-433,1,1.0.0-incubating,458,486,No
SYNCOPE-554,21,1.2.1,0,0,No
SYNCOPE-554,20,1.2.0,20,437,Yes
SYNCOPE-554,19,1.2.0-M1,45,803,Yes
SYNCOPE-554,18,1.1.8,112,2635,No
SYNCOPE-554,17,1.1.7,195,3444,No
SYNCOPE-554,16,1.1.6,243,3656,No
SYNCOPE-554,15,1.1.5,329,4024,No
SYNCOPE-554,14,1.1.4,391,5532,No
SYNCOPE-554,13,1.1.3,468,9393,No
SYNCOPE-554,12,1.1.2,499,9470,No
SYNCOPE-554,11,1.1.1,542,9544,No
SYNCOPE-554,10,1.0.8,553,9757,No
SYNCOPE-554,9,1.1.0,566,9984,No
SYNCOPE-554,8,1.0.7,576,10843,No
SYNCOPE-554,7,1.0.6,603,11248,No
SYNCOPE-554,6,1.0.5,638,12142,No
SYNCOPE-554,5,1.0.4,682,12967,No
SYNCOPE-554,4,1.0.2-incubating,751,15814,No
SYNCOPE-554,3,1.0.3-incubating,753,15822,No
SYNCOPE-554,2,1.0.1-incubating,785,16092,No
SYNCOPE-554,1,1.0.0-incubating,808,17461,No
SYNCOPE-434,15,1.1.5,0,0,No
SYNCOPE-434,14,1.1.4,41,1119,Yes
SYNCOPE-434,13,1.1.3,118,4479,No
SYNCOPE-434,12,1.1.2,149,4479,No
SYNCOPE-434,11,1.1.1,192,4531,No
SYNCOPE-434,10,1.0.8,203,4531,No
SYNCOPE-434,9,1.1.0,216,4531,No
SYNCOPE-434,8,1.0.7,226,4551,No
SYNCOPE-434,7,1.0.6,253,4590,No
SYNCOPE-434,6,1.0.5,288,5369,No
SYNCOPE-434,5,1.0.4,332,6993,No
SYNCOPE-434,4,1.0.2-incubating,401,8937,No
SYNCOPE-434,3,1.0.3-incubating,403,8939,No
SYNCOPE-434,2,1.0.1-incubating,435,9064,No
SYNCOPE-434,1,1.0.0-incubating,458,9072,No
SYNCOPE-435,15,1.1.5,0,0,No
SYNCOPE-435,14,1.1.4,46,3118,Yes
SYNCOPE-435,13,1.1.3,123,4363,No
SYNCOPE-435,12,1.1.2,154,4487,No
SYNCOPE-435,11,1.1.1,197,4623,No
SYNCOPE-435,10,1.0.8,208,4880,No
SYNCOPE-435,9,1.1.0,221,4917,No
SYNCOPE-435,8,1.0.7,231,4959,No
SYNCOPE-435,7,1.0.6,258,5234,No
SYNCOPE-435,6,1.0.5,293,7117,No
SYNCOPE-435,5,1.0.4,337,9922,No
SYNCOPE-435,4,1.0.2-incubating,406,12200,No
SYNCOPE-435,3,1.0.3-incubating,408,12200,No
SYNCOPE-435,2,1.0.1-incubating,440,12779,No
SYNCOPE-435,1,1.0.0-incubating,463,12852,No
SYNCOPE-556,20,1.2.0,0,0,No
SYNCOPE-556,19,1.2.0-M1,24,74,Yes
SYNCOPE-556,18,1.1.8,91,268,No
SYNCOPE-556,17,1.1.7,174,548,No
SYNCOPE-556,16,1.1.6,222,707,No
SYNCOPE-556,15,1.1.5,308,841,No
SYNCOPE-556,14,1.1.4,370,1050,No
SYNCOPE-556,13,1.1.3,447,1222,No
SYNCOPE-556,12,1.1.2,478,1283,No
SYNCOPE-556,11,1.1.1,521,1335,No
SYNCOPE-556,10,1.0.8,532,1348,No
SYNCOPE-556,9,1.1.0,545,1445,No
SYNCOPE-556,8,1.0.7,555,1616,No
SYNCOPE-556,7,1.0.6,582,1726,No
SYNCOPE-556,6,1.0.5,617,1837,No
SYNCOPE-556,5,1.0.4,661,2016,No
SYNCOPE-556,4,1.0.2-incubating,730,2335,No
SYNCOPE-556,3,1.0.3-incubating,732,2337,No
SYNCOPE-556,2,1.0.1-incubating,764,2385,No
SYNCOPE-556,1,1.0.0-incubating,787,3597,No
SYNCOPE-315,7,1.0.6,0,0,No
SYNCOPE-315,6,1.0.5,26,176,Yes
SYNCOPE-315,5,1.0.4,70,938,No
SYNCOPE-315,4,1.0.2-incubating,139,1173,No
SYNCOPE-315,3,1.0.3-incubating,141,1173,No
SYNCOPE-315,2,1.0.1-incubating,173,1193,No
SYNCOPE-315,1,1.0.0-incubating,196,1231,No
SYNCOPE-436,15,1.1.5,0,0,No
SYNCOPE-436,14,1.1.4,52,357,Yes
SYNCOPE-436,13,1.1.3,129,567,No
SYNCOPE-436,12,1.1.2,160,567,No
SYNCOPE-436,11,1.1.1,203,567,No
SYNCOPE-436,10,1.0.8,214,567,No
SYNCOPE-436,9,1.1.0,227,567,No
SYNCOPE-436,8,1.0.7,237,570,No
SYNCOPE-436,7,1.0.6,264,612,No
SYNCOPE-436,6,1.0.5,299,1000,No
SYNCOPE-436,5,1.0.4,343,3137,No
SYNCOPE-436,4,1.0.2-incubating,412,3254,No
SYNCOPE-436,3,1.0.3-incubating,414,3263,No
SYNCOPE-436,2,1.0.1-incubating,446,3290,No
SYNCOPE-436,1,1.0.0-incubating,469,3290,No
SYNCOPE-557,21,1.2.1,0,0,No
SYNCOPE-557,20,1.2.0,4,20,Yes
SYNCOPE-557,19,1.2.0-M1,29,20,Yes
SYNCOPE-557,18,1.1.8,96,20,No
SYNCOPE-557,17,1.1.7,179,69,No
SYNCOPE-557,16,1.1.6,227,69,No
SYNCOPE-557,15,1.1.5,313,79,No
SYNCOPE-557,14,1.1.4,375,322,No
SYNCOPE-557,13,1.1.3,452,322,No
SYNCOPE-557,12,1.1.2,483,609,No
SYNCOPE-557,11,1.1.1,526,609,No
SYNCOPE-557,10,1.0.8,537,609,No
SYNCOPE-557,9,1.1.0,550,609,No
SYNCOPE-557,8,1.0.7,560,609,No
SYNCOPE-557,7,1.0.6,587,620,No
SYNCOPE-557,6,1.0.5,622,620,No
SYNCOPE-557,5,1.0.4,666,654,No
SYNCOPE-557,4,1.0.2-incubating,735,698,No
SYNCOPE-557,3,1.0.3-incubating,737,698,No
SYNCOPE-557,2,1.0.1-incubating,769,698,No
SYNCOPE-557,1,1.0.0-incubating,792,698,No
SYNCOPE-316,7,1.0.6,0,0,No
SYNCOPE-316,6,1.0.5,26,61,Yes
SYNCOPE-316,5,1.0.4,70,144,No
SYNCOPE-316,4,1.0.2-incubating,139,144,No
SYNCOPE-316,3,1.0.3-incubating,141,144,No
SYNCOPE-316,2,1.0.1-incubating,173,144,No
SYNCOPE-316,1,1.0.0-incubating,196,144,No
SYNCOPE-437,15,1.1.5,0,0,No
SYNCOPE-437,14,1.1.4,47,948,Yes
SYNCOPE-437,13,1.1.3,124,4229,No
SYNCOPE-437,12,1.1.2,155,4229,No
SYNCOPE-437,11,1.1.1,198,4229,No
SYNCOPE-437,10,1.0.8,209,4229,No
SYNCOPE-437,9,1.1.0,222,4229,No
SYNCOPE-437,8,1.0.7,232,4237,No
SYNCOPE-437,7,1.0.6,259,4243,No
SYNCOPE-437,6,1.0.5,294,4694,No
SYNCOPE-437,5,1.0.4,338,4981,No
SYNCOPE-437,4,1.0.2-incubating,407,6994,No
SYNCOPE-437,3,1.0.3-incubating,409,6996,No
SYNCOPE-437,2,1.0.1-incubating,441,7054,No
SYNCOPE-437,1,1.0.0-incubating,464,7058,No
SYNCOPE-309,7,1.0.6,0,0,No
SYNCOPE-309,6,1.0.5,33,96,Yes
SYNCOPE-309,5,1.0.4,77,186,No
SYNCOPE-309,4,1.0.2-incubating,146,248,No
SYNCOPE-309,3,1.0.3-incubating,148,248,No
SYNCOPE-309,2,1.0.1-incubating,180,248,No
SYNCOPE-309,1,1.0.0-incubating,203,263,No
SYNCOPE-301,7,1.0.6,0,0,No
SYNCOPE-301,6,1.0.5,7,495,Yes
SYNCOPE-301,5,1.0.4,51,2958,No
SYNCOPE-301,4,1.0.2-incubating,120,5057,No
SYNCOPE-301,3,1.0.3-incubating,122,5068,No
SYNCOPE-301,2,1.0.1-incubating,154,5281,No
SYNCOPE-301,1,1.0.0-incubating,177,5285,No
SYNCOPE-543,20,1.2.0,0,0,No
SYNCOPE-543,19,1.2.0-M1,0,156,Yes
SYNCOPE-543,18,1.1.8,67,156,Yes
SYNCOPE-543,17,1.1.7,150,316,No
SYNCOPE-543,16,1.1.6,198,316,No
SYNCOPE-543,15,1.1.5,284,663,No
SYNCOPE-543,14,1.1.4,346,1452,No
SYNCOPE-543,13,1.1.3,423,1553,No
SYNCOPE-543,12,1.1.2,454,1553,No
SYNCOPE-543,11,1.1.1,497,1558,No
SYNCOPE-543,10,1.0.8,508,1616,No
SYNCOPE-543,9,1.1.0,521,1616,No
SYNCOPE-543,8,1.0.7,531,1616,No
SYNCOPE-543,7,1.0.6,558,1623,No
SYNCOPE-543,6,1.0.5,593,1753,No
SYNCOPE-543,5,1.0.4,637,3565,No
SYNCOPE-543,4,1.0.2-incubating,706,4091,No
SYNCOPE-543,3,1.0.3-incubating,708,4091,No
SYNCOPE-543,2,1.0.1-incubating,740,4091,No
SYNCOPE-543,1,1.0.0-incubating,763,4091,No
SYNCOPE-426,15,1.1.5,0,0,No
SYNCOPE-426,14,1.1.4,28,624,Yes
SYNCOPE-426,13,1.1.3,105,1429,No
SYNCOPE-426,12,1.1.2,136,1536,No
SYNCOPE-426,11,1.1.1,179,1605,No
SYNCOPE-426,10,1.0.8,190,1763,No
SYNCOPE-426,9,1.1.0,203,1763,No
SYNCOPE-426,8,1.0.7,213,1763,No
SYNCOPE-426,7,1.0.6,240,1926,No
SYNCOPE-426,6,1.0.5,275,3613,No
SYNCOPE-426,5,1.0.4,319,5180,No
SYNCOPE-426,4,1.0.2-incubating,388,5534,No
SYNCOPE-426,3,1.0.3-incubating,390,5534,No
SYNCOPE-426,2,1.0.1-incubating,422,5652,No
SYNCOPE-426,1,1.0.0-incubating,445,5681,No
SYNCOPE-547,20,1.2.0,0,0,No
SYNCOPE-547,19,1.2.0-M1,7,2,Yes
SYNCOPE-547,18,1.1.8,74,14,Yes
SYNCOPE-547,17,1.1.7,157,227,No
SYNCOPE-547,16,1.1.6,205,253,No
SYNCOPE-547,15,1.1.5,291,302,No
SYNCOPE-547,14,1.1.4,353,317,No
SYNCOPE-547,13,1.1.3,430,466,No
SYNCOPE-547,12,1.1.2,461,466,No
SYNCOPE-547,11,1.1.1,504,466,No
SYNCOPE-547,10,1.0.8,515,466,No
SYNCOPE-547,9,1.1.0,528,466,No
SYNCOPE-547,8,1.0.7,538,466,No
SYNCOPE-547,7,1.0.6,565,468,No
SYNCOPE-547,6,1.0.5,600,468,No
SYNCOPE-547,5,1.0.4,644,607,No
SYNCOPE-547,4,1.0.2-incubating,713,610,No
SYNCOPE-547,3,1.0.3-incubating,715,610,No
SYNCOPE-547,2,1.0.1-incubating,747,727,No
SYNCOPE-547,1,1.0.0-incubating,770,727,No
SYNCOPE-548,20,1.2.0,0,0,No
SYNCOPE-548,19,1.2.0-M1,7,98,Yes
SYNCOPE-548,18,1.1.8,74,252,No
SYNCOPE-548,17,1.1.7,157,317,No
SYNCOPE-548,16,1.1.6,205,349,No
SYNCOPE-548,15,1.1.5,291,462,No
SYNCOPE-548,14,1.1.4,353,593,No
SYNCOPE-548,13,1.1.3,430,645,No
SYNCOPE-548,12,1.1.2,461,649,No
SYNCOPE-548,11,1.1.1,504,653,No
SYNCOPE-548,10,1.0.8,515,653,No
SYNCOPE-548,9,1.1.0,528,657,No
SYNCOPE-548,8,1.0.7,538,691,No
SYNCOPE-548,7,1.0.6,565,711,No
SYNCOPE-548,6,1.0.5,600,728,No
SYNCOPE-548,5,1.0.4,644,826,No
SYNCOPE-548,4,1.0.2-incubating,713,890,No
SYNCOPE-548,3,1.0.3-incubating,715,890,No
SYNCOPE-548,2,1.0.1-incubating,747,941,No
SYNCOPE-548,1,1.0.0-incubating,770,980,No
SYNCOPE-549,20,1.2.0,0,0,No
SYNCOPE-549,19,1.2.0-M1,8,4,Yes
SYNCOPE-549,18,1.1.8,75,7,No
SYNCOPE-549,17,1.1.7,158,7,No
SYNCOPE-549,16,1.1.6,206,7,No
SYNCOPE-549,15,1.1.5,292,19,No
SYNCOPE-549,14,1.1.4,354,77,No
SYNCOPE-549,13,1.1.3,431,88,No
SYNCOPE-549,12,1.1.2,462,88,No
SYNCOPE-549,11,1.1.1,505,88,No
SYNCOPE-549,10,1.0.8,516,88,No
SYNCOPE-549,9,1.1.0,529,88,No
SYNCOPE-549,8,1.0.7,539,88,No
SYNCOPE-549,7,1.0.6,566,88,No
SYNCOPE-549,6,1.0.5,601,89,No
SYNCOPE-549,5,1.0.4,645,102,No
SYNCOPE-549,4,1.0.2-incubating,714,102,No
SYNCOPE-549,3,1.0.3-incubating,716,102,No
SYNCOPE-549,2,1.0.1-incubating,748,102,No
SYNCOPE-549,1,1.0.0-incubating,771,102,No
SYNCOPE-308,7,1.0.6,0,0,No
SYNCOPE-308,6,1.0.5,19,39,Yes
SYNCOPE-308,5,1.0.4,63,80,No
SYNCOPE-308,4,1.0.2-incubating,132,158,No
SYNCOPE-308,3,1.0.3-incubating,134,158,No
SYNCOPE-308,2,1.0.1-incubating,166,158,No
SYNCOPE-308,1,1.0.0-incubating,189,158,No
SYNCOPE-531,19,1.2.0-M1,0,0,No
SYNCOPE-531,18,1.1.8,4,150,Yes
SYNCOPE-531,17,1.1.7,87,267,No
SYNCOPE-531,16,1.1.6,135,267,No
SYNCOPE-531,15,1.1.5,221,267,No
