Project Key,Method,Precision,Recall,F1,MCC,Kappa
TINKERPOP,Simple,1.0,0.17647058823529413,0.15,0.40340495761088746,0.27991843622556706
TINKERPOP,LAV,1.0,0.8088235294117647,0.44715447154471544,0.8906630827225951,0.8847256483765584
XERCESJ,Simple,1.0,0.4260869565217391,0.29878048780487804,0.6363636363636364,0.5764705882352948
XERCESJ,LAV,0.9900990099009901,0.8695652173913043,0.46296296296296297,0.9219458011038516,0.919665271966527
QPIDJMS,Simple,1.0,0.09473684210526316,0.08653846153846154,0.29741408741096353,0.16253336713542244
QPIDJMS,LAV,1.0,0.7684210526315789,0.4345238095238095,0.8687406845057534,0.8602107639463265
LOG4J2,Simple,1.0,0.3501896333754741,0.25936329588014984,0.5721604565510857,0.49325837242109494
LOG4J2,LAV,0.9527272727272728,0.6624525916561315,0.39075316927665915,0.7776055677564733,0.7626420147841438
DIRSTUDIO,Simple,1.0,0.23972602739726026,0.19337016574585633,0.4685881782874335,0.3600842954081962
DIRSTUDIO,LAV,1.0,0.6438356164383562,0.3916666666666667,0.7856820077276162,0.7633681581350377
SYNCOPE,Simple,1.0,0.05390835579514825,0.05115089514066496,0.22838894472147425,0.09915114660955135
SYNCOPE,LAV,0.9964028776978417,0.7466307277628033,0.4268104776579353,0.8586113446327173,0.8492044082266932
ISIS,Simple,1.0,0.3973509933774834,0.2843601895734597,0.6166740146038691,0.5510258146174905
ISIS,LAV,0.9555555555555556,0.8543046357615894,0.4510489510489511,0.8968529631610439,0.8952447014546108
WICKET,Simple,1.0,0.2581530021334959,0.2051841085271318,0.500792298409366,0.40101430205375943
WICKET,LAV,0.8117081695063346,0.5662907650106674,0.333572710951526,0.6677810611201134,0.6563986328240319
DELTASPIKE,Simple,1.0,0.34854771784232363,0.2584615384615384,0.5738758884662728,0.49548668803128404
DELTASPIKE,LAV,1.0,0.7800829875518672,0.43822843822843827,0.8746518090020462,0.8668656593660794
AMQCPP,Simple,1.0,0.10084033613445378,0.0916030534351145,0.30887193207798863,0.17418606449617072
AMQCPP,LAV,1.0,0.5126050420168067,0.33888888888888885,0.7051525624746913,0.6642089325389691
